Date,Flight number,From,To,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number,Seat type,Flight class,Flight reason,Note,Dep_id,Arr_id,Airline_id,Aircraft_id
2019/11/22,SJ3124,Jakarta / Soekarno Hatta (CGK/WIII),Wuhan / Tianhe (WUH/ZHHH),9:00:00,16:00:00,6:00:00,Freedom Air (SJ/FOM),Boeing 737-800 (B738),,,0,0,0,5,534,3249,1301,231
2019/11/21,SJ3184,Jakarta / Soekarno Hatta (CGK/WIII),Hangzhou / Xiaoshan (HGH/ZSHC),8:35:00,15:35:00,6:00:00,Freedom Air (SJ/FOM),Boeing 737-800 (B738),,,0,0,0,3,534,1121,1301,231
2020/2/11,SK997,Copenhagen / Kastrup (CPH/EKCH),Shanghai / Pudong (PVG/ZSPD),18:40:00,10:55:00,10:15:00,Scandinavian Airlines (SK/SAS),Airbus A350-900 (A359),,,0,0,0,2,606,3653,677,2110
2019/11/25,SL117,Bangkok / Don Mueang International (DMK/VTBD),Guangzhou / Canton-Baiyun (CAN/ZGGG),21:35:00,1:40:00,3:05:00,Thai Lion Air (SL/TLM),Boeing 737-900 (B739),,,0,0,0,1 (CKG-DMK-CAN),3565,478,2010,232
2019/11/5,SQ830,Singapore / Changi (SIN/WSSS),Shanghai / Pudong (PVG/ZSPD),9:30:00,15:05:00,5:35:00,Singapore Airlines (SQ/SIA),Boeing 787-9 (B789),,,0,0,0,1,2672,3653,703,2088
2020/2/11,SU208,Moscow / Sheremetyevo (SVO/UUEE),Shanghai / Pudong (PVG/ZSPD),20:05:00,9:50:00,8:45:00,Aeroflot (SU/AFL),Boeing 777-300ER (B77W),,,0,0,0,4,2816,3653,33,2023
2020/3/10,SV884,Riyadh / King Khalid (RUH/OERK),Guangzhou / Canton-Baiyun (CAN/ZGGG),2:35:00,16:30:00,8:55:00,Saudi Arabian Airlines (SV/SVA),Boeing 787-9 (B789),,,0,0,0,,2570,478,735,2088
2020/6/5,TK196,Istanbul / Istanbul Airport (IST/LTFM),Xian / Xianyang (XIY/ZLXY),7:40:00,21:35:00,8:55:00,Turkish Airlines (TK/THY),Boeing 777-300ER (B77W),,,0,0,0,5,8949,3280,769,2023
2020/3/10,TK72,Istanbul / Istanbul Airport (IST/LTFM),Guangzhou / Canton-Baiyun (CAN/ZGGG),18:35:00,9:40:00,10:05:00,Turkish Airlines (TK/THY),Boeing 777-300ER (B77W),,,0,0,0,,8949,478,769,2023
2019/11/5,TR100,Singapore / Changi (SIN/WSSS),Guangzhou / Canton-Baiyun (CAN/ZGGG),5:15:00,9:25:00,4:10:00,Scoot (TR/TGW),Boeing 787-9 (B789),,,0,0,0,7,2672,478,2695,2088
2019/11/7,TR139,Tianjin / Binhai (TSN/ZBTJ),Singapore / Changi (SIN/WSSS),9:20:00,15:20:00,6:00:00,Scoot (TR/TGW),Boeing 787-9 (B789),,,0,0,0,3,3023,2672,2695,2088
2019/11/6,TR180,Singapore / Changi (SIN/WSSS),Nanjing / Nanjing (NKG/ZSNJ),11:10:00,16:30:00,5:20:00,Scoot (TR/TGW),Boeing 787-9 (B789),,,0,0,0,4,2672,2066,2695,2088
2019/12/21,TW683,Taegu / K-2 (TAE/RKTN),Yanji / Chaoyangchuan (YNJ/ZYYJ),9:00:00,10:50:00,2:50:00,T'way Airlines (TW/TWB),Airbus A320 (A320),,,0,0,0,4,2848,4692,1610,27
2020/5/21,TW9615,Seoul / Incheon (ICN/RKSI),Wuhan / Tianhe (WUH/ZHHH),10:00:00,11:55:00,2:55:00,T'way Airlines (TW/TWB),Airbus A320 (A320),,,0,0,0,3,3602,3249,1610,27
2019/12/11,U63763,Yekaterinburg / Koltsovo (SVX/USSS),Xian / Xianyang (XIY/ZLXY),4:05:00,13:00:00,5:55:00,Ural Airlines (U6/SVR),Airbus A320 (A320),,,0,0,0,2(DXB-SVX-XIY),2823,3280,740,27
2020/2/21,UA857,San Francisco / San Francisco International (SFO/KSFO),Shanghai / Pudong (PVG/ZSPD),11:00:00,17:45:00,15:45:00,United Airlines (UA/UAL),Boeing 777-300ER (B77W),,,0,0,0,,2644,3653,808,2023
2020/2/22,UA857,San Francisco / San Francisco International (SFO/KSFO),Shanghai / Pudong (PVG/ZSPD),11:00:00,17:45:00,15:45:00,United Airlines (UA/UAL),Boeing 777-300ER (B77W),,,0,0,0,,2644,3653,808,2023
2020/2/23,UA857,San Francisco / San Francisco International (SFO/KSFO),Shanghai / Pudong (PVG/ZSPD),11:00:00,17:45:00,15:45:00,United Airlines (UA/UAL),Boeing 777-300ER (B77W),,,0,0,0,,2644,3653,808,2023
2020/2/24,UA857,San Francisco / San Francisco International (SFO/KSFO),Shanghai / Pudong (PVG/ZSPD),11:00:00,17:45:00,15:45:00,United Airlines (UA/UAL),Boeing 777-300ER (B77W),,,0,0,0,,2644,3653,808,2023
2019/11/25,UB803,Yangon / Mingaladon (RGN/VYYY),Chengdu / Shuangliu (CTU/ZUUU),22:00:00,2:00:00,2:00:00,Myanmar Airways (UB/UBA),Boeing 737-800 (B738),,,0,0,0,7(MNL-RGN-CTU),2513,633,809,231
2019/12/11,UL866,Colombo / Bandaranaike (CMB/VCBI),Shanghai / Pudong (PVG/ZSPD),14:15:00,23:50:00,6:35:00,SriLankan Airlines (UL/ALK),Airbus A330-300 (A333),,,0,0,0,5,577,3653,51,31
2020/5/1,VN5728,Hanoi / Noibai (HAN/VVNB),Nanjing / Nanjing (NKG/ZSNJ),10:10:00,13:50:00,2:40:00,Vietnam Airlines (VN/HVN),Airbus A350-900 (A359),,,0,0,0,6,1094,2066,366,2110
2019/11/25,VN704,Hanoi / Noibai (HAN/VVNB),Zhengzhou / Zhengzhou (CGO/ZHCC),7:10:00,11:00:00,2:50:00,Vietnam Airlines (VN/HVN),Airbus A321-200 (A321),,,0,0,0,5(MNL-HAN-CGO),1094,536,366,2076
2020/2/11,VS250,London / Heathrow (LHR/EGLL),Shanghai / Pudong (PVG/ZSPD),15:15:00,9:25:00,11:10:00,Virgin Atlantic (VS/VIR),Boeing 787-9 (B789),,,0,0,0,2,1618,3653,835,2088
2020/2/12,VS250,London / Heathrow (LHR/EGLL),Shanghai / Pudong (PVG/ZSPD),15:15:00,9:25:00,11:10:00,Virgin Atlantic (VS/VIR),Boeing 787-9 (B789),,,0,0,0,5,1618,3653,835,2088
2020/3/11,W5080,Tehran / Imam Khomeini (IKA/OIIE),Guangzhou / Canton-Baiyun (CAN/ZGGG),23:30:00,4:50:00,1:20:00,Mahan Airlines (W5/IRM),Airbus A340 (A340),,,0,0,0,1,3595,478,393,32
2020/3/11,WB9500,Kigali / Kigali (KGL/HRYR),Guangzhou / Canton-Baiyun (CAN/ZGGG),16:35:00,9:00:00,10:25:00,Rwandair Express (WB/RWD),Airbus A330-200 (A332),,,0,0,0,5,1417,478,665,30
2019/11/25,XJ808,Bangkok / Don Mueang International (DMK/VTBD),Tianjin / Binhai (TSN/ZBTJ),15:55:00,21:40:00,4:45:00,Thai AirAsia X (XJ/TAX),Airbus A330-200 (A332),,,0,0,0,5(KUL-DMK-TSN),3565,3023,2047,30
2019/11/21,Z2816,Manila / Ninoy Aquino International (MNL/RPLL),Chengdu / Shuangliu (CTU/ZUUU),22:15:00,2:10:00,3:55:00,Zest Airways (Z2/RIT),Airbus A320-200 (A320),,,0,0,0,3,1898,633,1159,2059
2019/11/25,ZA419,Sihanoukville / Sihanoukville (KOS/VDSV),Zhengzhou / Zhengzhou (CGO/ZHCC),7:00:00,11:00:00,3:00:00,Sky Angkor Airlines (ZA/SWM),Airbus A320-200 (A320),,,0,0,0,5(MNL-KOS-CGO),4586,536,1883,2059
2019/11/26,ZA493,Sihanoukville / Sihanoukville (KOS/VDSV),Chengdu / Shuangliu (CTU/ZUUU),20:40:00,1:05:00,3:25:00,Sky Angkor Airlines (ZA/SWM),Airbus A320-200 (A320),,,0,0,0,6(MNL-KOS-CTU),4586,633,1883,2059
2020/3/21,ZH9032,Seoul / Incheon (ICN/RKSI),Shenzhen / Shenzhen Bao'an International Airport (SZX/ZGSZ),13:40:00,16:50:00,4:10:00,Shenzhen Airlines (4G/CSZ),Boeing 737-800 (B738),,,0,0,0,3,3602,2844,917,231
2019/12/1,ZH9046,Phnom Penh / Pochentong (PNH/VDPP),Shenzhen / Shenzhen Bao'an International Airport (SZX/ZGSZ),17:20:00,21:05:00,2:45:00,Shenzhen Airlines (4G/CSZ),Boeing 737-800 (B738),,,0,0,0,4,2362,2844,917,231
2020/3/21,ZH9052,Tokyo / Narita (NRT/RJAA),Shenzhen / Shenzhen Bao'an International Airport (SZX/ZGSZ),15:40:00,19:50:00,5:10:00,Shenzhen Airlines (ZH/CSZ),Airbus A330-300 (A333),,,0,0,0,7,2105,2844,1693,31
,CZ3062,,,16:35:00,18:58:00,,,,,,,,,,,,,
